plot,genre
A brilliant economist from Nigeria fights institutional racism at a prestigious university while raising her two children alone. Every choice has a cost.,Drama
An AI granted legal personhood applies for citizenship and challenges the court system to define what consciousness really means. One wrong move means death.,Sci-Fi
A cynical travel writer and an optimistic architect are stranded together in Venice during an unprecedented flood and fall unexpectedly in love. The truth changes everything.,Romance
"A wandering bard collects fragments of a shattered prophecy across twelve kingdoms, each piece more dangerous than the last. The truth changes everything.",Fantasy
"After uploading his consciousness to save his dying body, a man discovers the digital world is already inhabited by billions of trapped minds.",Sci-Fi
A veteran detective on the verge of retirement takes on one final case: a string of art thefts that lead to a decades-old murder. There is no going back.,Crime
"Two former partners in crime reunite for one last heist, but one of them has been turned by the FBI. The truth changes everything.",Crime
A foster care social worker realizes the system has failed a particular child and fights the bureaucracy to save him. The truth changes everything.,Drama
A young prince forbidden from using magic secretly trains with a rogue wizard from a banned school of elemental power. The truth changes everything.,Fantasy
An expedition team races rival treasure hunters to the wreck of a legendary 18th-century treasure ship. One wrong move means death.,Adventure
A federal marshal transporting a prisoner discovers the prisoner has been set up as bait — and so has she. Secrets have a way of surfacing.,Thriller
A group of hikers on the Appalachian Trail stumble upon a witness protection safe house under attack. Secrets have a way of surfacing.,Adventure
A group of urban explorers enters an abandoned asylum and one by one stops responding on their radio channels. Every choice has a cost.,Horror
A satellite engineer discovers that a government weather control network is being used as a weapon against civilian populations. One wrong move means death.,Sci-Fi
A woman who has sworn off love is hired to plan her ex-boyfriend's wedding to someone else.,Romance
A retired thief must train one last crew when the crime boss who put him in prison threatens his family. Nothing is what it seems.,Crime
Three best friends accidentally adopt a baby at a garage sale and must figure out how to care for it over a chaotic weekend.,Comedy
A forensic psychiatrist realizes the anonymous letters she has been receiving are from her next patient — who has been stalking her for months.,Thriller
A group of hikers on the Appalachian Trail stumble upon a witness protection safe house under attack. Loyalties are tested.,Adventure
A woman inherits her estranged uncle's house and discovers a locked room containing detailed surveillance files on her entire neighborhood. Every choice has a cost.,Thriller
A teenage boy and his grandfather journey through rural India to return a sacred elephant to its mountain sanctuary. Time is running out.,Adventure
A retired Olympic swimmer coaching at a small university falls for the single mother whose son joins the team. The consequences are irreversible.,Romance
"A young sailor races alone across the Pacific Ocean, battling storms, equipment failures, and his own self-doubt. There is no going back.",Adventure
"In 2189, a linguist is recruited to communicate with an alien vessel that has been orbiting Earth silently for six months.",Sci-Fi
"A soldier wakes up repeatedly in the same battle, each time retaining one more minute of memory, trying to find the moment everything went wrong. Nothing is what it seems.",Sci-Fi
